order_id,revision,line_id,sold_at,customer_id,country,sku,quantity,unit_price,currency,discount_pct,shipping,channel,status
1001,1,1,2026-01-03,C-01,US,A-100,2,19.99,USD,0.00,4.50,web,paid
1001,2,1,2026-01-03,C-01,US,A-100,2,18.99,USD,0.05,4.50,web,paid
1002,1,1,2026-01-04,C-02,GB,B-200,1,35.00,GBP,0.10,0.00,retail,paid
1003,1,1,2026-01-04,C-03,DE,A-100,3,18.00,EUR,0.00,5.00,marketplace,paid
1004,1,1,2026-01-05,C-04,US,C-300,0,12.00,USD,0.00,2.00,web,paid
1005,1,1,2026-01-05,C-05,CA,D-400,2,21.00,CAD,0.20,3.00,web,paid
1006,1,1,not-a-date,C-06,US,E-500,1,8.50,USD,0.00,0.00,retail,paid
1007,1,1,2026-01-06,C-07,AU,F-600,4,9.00,AUD,0.00,7.00,web,paid
1008,1,1,2026-01-06,C-08,US,,1,14.00,USD,0.00,0.00,web,paid
1009,1,1,2026-01-07,C-09,JP,G-700,2,1100,JPY,0.15,0.00,marketplace,paid
1010,1,1,2026-01-07,C-10,US,H-800,1,50.00,USD,1.20,0.00,web,paid
1011,1,1,2026-01-07,C-11,US,I-900,1,-7.00,USD,0.00,0.00,web,paid
1012,1,1,2026-01-08,C-12,GB,B-200,2,35.00,GBP,0.00,4.00,retail,refunded
1013,1,1,2026-01-08,C-13,US,J-100,5,5.00,USD,0.00,2.50,web,cancelled
1014,1,1,2026-01-09,C-14,DE,K-110,1,99.99,EUR,0.25,8.00,web,paid
1014,1,2,2026-01-09,C-14,DE,L-120,2,15.00,EUR,0.00,0.00,web,paid
1014,2,2,2026-01-09,C-14,DE,L-120,3,15.00,EUR,0.00,0.00,web,paid
1015,1,1,2026-01-09,C-15,US,M-130,1,25.00,CHF,0.00,0.00,web,paid
1016,1,1,2026-01-10,C-16,CA,N-140,2,40.00,CAD,0.125,5.00,retail,paid
1017,1,1,2026-01-10,C-17,US,O-150,3,12.49,USD,0.333,0.00,marketplace,paid
